SPECIES,LO,HI,TIME_rel,KG_HR,DAYS,KG_HR_DAY
BYMA,>=0.2,<0.24,0.2,6,79,0.075949367
BYMA,>=0.24,<0.28,0.24,5.1375,79,0.065031646
BYMA,>=0.28,<0.32,0.28,8.34375,79,0.105617089
BYMA,>=0.32,<0.36,0.32,6.375,79,0.080696203
BYMA,>=0.36,<0.4,0.36,5.4375,79,0.068829114
BYMA,>=0.4,<0.44,0.4,12.375,79,0.15664557
BYMA,>=0.44,<0.48,0.44,3.375,79,0.042721519
BYMA,>=0.48,<0.52,0.48,9.46875,79,0.119857595
BYMA,>=0.52,<0.56,0.52,3.1875,79,0.040348101
BYMA,>=0.56,<0.6,0.56,6.75,79,0.085443038
BYMA,>=0.6,<0.64,0.6,4.125,79,0.05221519
BYMA,>=0.64,<0.68,0.64,6,79,0.075949367
BYMA,>=0.68,<0.72,0.68,5.25,79,0.066455696
BYMA,>=0.72,<0.76,0.72,5.25,79,0.066455696
BYMA,>=0.76,<0.8,0.76,2.53125,79,0.032041139
BYMA,>=0.8,<0.84,0.8,2.4375,79,0.03085443
BYMA,>=0.84,<0.88,0.84,4.125,79,0.05221519
BYMA,>=0.88,<0.92,0.88,3.375,79,0.042721519
BYMA,>=0.92,<0.96,0.92,1.5,79,0.018987342
BYMA,>=0.96,<1,0.96,0,79,0
BYMA,>=1,<0,1,0,79,0
WEPA,>=0,<0.04,0,0.091583333,79,0.001159283
WEPA,>=0.04,<0.08,0.04,0.248583333,79,0.003146624
WEPA,>=0.08,<0.12,0.08,3.741833333,79,0.047364979
WEPA,>=0.12,<0.16,0.12,2.15875,79,0.027325949
WEPA,>=0.16,<0.2,0.16,6.724833333,79,0.085124473
WEPA,>=0.2,<0.24,0.2,2.969916667,79,0.037593882
WEPA,>=0.24,<0.28,0.24,12.10208333,79,0.153190928
WEPA,>=0.28,<0.32,0.28,9.289166667,79,0.117584388
WEPA,>=0.32,<0.36,0.32,2.1666,79,0.027425316
WEPA,>=0.36,<0.4,0.36,6.489333333,79,0.08214346
WEPA,>=0.4,<0.44,0.4,8.478,79,0.107316456
WEPA,>=0.44,<0.48,0.44,5.115583333,79,0.064754219
WEPA,>=0.48,<0.52,0.48,7.666833333,79,0.097048523
WEPA,>=0.52,<0.56,0.52,4.04275,79,0.051174051
WEPA,>=0.56,<0.6,0.56,7.051916667,79,0.089264768
WEPA,>=0.6,<0.64,0.6,5.338,79,0.06756962
WEPA,>=0.64,<0.68,0.64,5.992166667,79,0.075850211
WEPA,>=0.68,<0.72,0.68,5.364166667,79,0.067900844
WEPA,>=0.72,<0.76,0.72,3.02225,79,0.038256329
WEPA,>=0.76,<0.8,0.76,5.560416667,79,0.070385021
WEPA,>=0.8,<0.84,0.8,1.360666667,79,0.017223629
WEPA,>=0.84,<0.88,0.84,3.754916667,79,0.047530591
WEPA,>=0.88,<0.92,0.88,0.58875,79,0.007452532
WEPA,>=0.92,<0.96,0.92,1.991283333,79,0.025206118
WEPA,>=0.96,<1,0.96,0.026166667,79,0.000331224
WEPA,>=1,<0,1,0,79,0
CWPA,>=0,<0.04,0,0,79,0
CWPA,>=0.04,<0.08,0.04,0,79,0
CWPA,>=0.08,<0.12,0.08,0,79,0
CWPA,>=0.12,<0.16,0.12,0,79,0
CWPA,>=0.16,<0.2,0.16,0,79,0
CWPA,>=0.2,<0.24,0.2,0,79,0
CWPA,>=0.24,<0.28,0.24,0,79,0
CWPA,>=0.28,<0.32,0.28,0,79,0
CWPA,>=0.32,<0.36,0.32,0,79,0
CWPA,>=0.36,<0.4,0.36,0,79,0
CWPA,>=0.4,<0.44,0.4,0,79,0
CWPA,>=0.44,<0.48,0.44,0,79,0
CWPA,>=0.48,<0.52,0.48,0.019,79,0.000240506
CWPA,>=0.52,<0.56,0.52,0,79,0
CWPA,>=0.56,<0.6,0.56,0,79,0
CWPA,>=0.6,<0.64,0.6,0,79,0
CWPA,>=0.64,<0.68,0.64,0,79,0
CWPA,>=0.68,<0.72,0.68,0,79,0
CWPA,>=0.72,<0.76,0.72,0,79,0
CWPA,>=0.76,<0.8,0.76,0,79,0
CWPA,>=0.8,<0.84,0.8,0.00475,79,6.01266E-05
CWPA,>=0.84,<0.88,0.84,0,79,0
CWPA,>=0.88,<0.92,0.88,0,79,0
CWPA,>=0.92,<0.96,0.92,0,79,0
CWPA,>=0.96,<1,0.96,0,79,0
CWPA,>=1,<0,1,0,79,0
OCPA,>=0,<0.04,0,0.023333333,79,0.000295359
OCPA,>=0.04,<0.08,0.04,0.443333333,79,0.005611814
OCPA,>=0.08,<0.12,0.08,0.676666667,79,0.008565401
OCPA,>=0.12,<0.16,0.12,1.54,79,0.019493671
OCPA,>=0.16,<0.2,0.16,2.571333333,79,0.032548523
OCPA,>=0.2,<0.24,0.2,1.766333333,79,0.02235865
OCPA,>=0.24,<0.28,0.24,2.24,79,0.02835443
OCPA,>=0.28,<0.32,0.28,2.741666667,79,0.034704641
OCPA,>=0.32,<0.36,0.32,3.476666667,79,0.044008439
OCPA,>=0.36,<0.4,0.36,2.251666667,79,0.02850211
OCPA,>=0.4,<0.44,0.4,4.001666667,79,0.050654008
OCPA,>=0.44,<0.48,0.44,1.925,79,0.024367089
OCPA,>=0.48,<0.52,0.48,4.001666667,79,0.050654008
OCPA,>=0.52,<0.56,0.52,2.135,79,0.027025316
OCPA,>=0.56,<0.6,0.56,3.406666667,79,0.043122363
OCPA,>=0.6,<0.64,0.6,2.438333333,79,0.030864979
OCPA,>=0.64,<0.68,0.64,2.671666667,79,0.033818565
OCPA,>=0.68,<0.72,0.68,2.356666667,79,0.029831224
OCPA,>=0.72,<0.76,0.72,2.531666667,79,0.032046414
OCPA,>=0.76,<0.8,0.76,1.691666667,79,0.021413502
