ID,COLLECTION,CAT_ID,CODE,GENUS,SPECIES,SPEC_TYPE,Lw,S1,Hwi,TWAi,E,CULM_SL,CULM_CL,MAND_SL,MAND_CL,SCMi,NOTES,RECORDER
74,Carnegie MNH,P93893,SCMA,Ara,macao,skin study,40,22.1,44.75,0.2652,--,7.21,8.5,3.9,4.2,11.11,left wing,KV
75,Carnegie MNH,P93893,SCMA,Ara,macao,skin study,40.6,24.1,40.64039409,0.293538,--,--,--,--,--,--,right wing,KV
76,Carnegie MNH,S12349,SCMA,Ara,macao,wing spread,37.5,22.1,41.06666667,0.248625,46.3,--,--,--,--,--,left wing,KV
77,Carnegie MNH,S17056,SCMA,Ara,macao,wing spread,40.7,24.2,40.54054054,0.295482,53,--,--,--,--,--,left wing,KV
78,Carnegie MNH,P120034,GRMA,Ara,severus,skin study,24,14.3,40.41666667,0.10296,--,3.544,4,2.11,2.4,5.654,left wing,KV
79,Carnegie MNH,P120034,GRMA,Ara,severus,skin study,23.9,14.7,38.49372385,0.105399,--,--,--,--,--,--,right wing,KV
80,Carnegie MNH,P120035,GRMA,Ara,severus,skin study,24.1,14.2,41.07883817,0.102666,--,3.6,4.2,2.46,2.2,6.06,left wing,KV
81,Carnegie MNH,P120035,GRMA,Ara,severus,skin study,24.4,14.3,41.39344262,0.104676,--,--,--,--,--,--,right wing,KV
82,Carnegie MNH,P78949,GRMA,Ara,severus,skin study,23.9,14.4,39.74895397,0.103248,--,3.68,4.5,2.36,2.3,6.04,left wing,KV
83,Carnegie MNH,P78949,GRMA,Ara,severus,skin study,23.9,14.2,40.58577406,0.101814,--,--,--,--,--,--,right wing,KV
84,Carnegie MNH,P78988,GRMA,Ara,severus,skin study,24.1,14.8,38.58921162,0.107004,--,3.49,4.2,1.9,1.9,5.39,left wing,KV
85,Carnegie MNH,P78988,GRMA,Ara,severus,skin study,24,14.6,39.16666667,0.10512,--,--,--,--,--,--,right wing,KV
86,Carnegie MNH,P93528,GRMA,Ara,severus,skin study,24.5,14.5,40.81632653,0.106575,--,3.65,4.5,2.19,2.2,5.84,left wing,KV
87,Carnegie MNH,P93528,GRMA,Ara,severus,skin study,24.2,14.3,40.90909091,0.103818,--,--,--,--,--,--,right wing,KV
88,Carnegie MNH,P44066,DHPA,Aratinga,weddellii,skin study,13.3,7.9,40.60150376,0.031521,--,2.09,2.3,1.558,1.5,3.648,left wing,KV
89,Carnegie MNH,P44066,DHPA,Aratinga,weddellii,skin study,14.5,8,44.82758621,0.0348,--,--,--,--,--,--,right wing,KV
