ID,COLLECTION,CAT_ID,CODE,GENUS,SPECIES,SPEC_TYPE,NOTES,MORPH,MEASURE
89,Carnegie MNH,P44066,DHPA,Aratinga,weddellii,skin study,right wing,wing_Lw,14.500
90,Carnegie MNH,P44067,DHPA,Aratinga,weddellii,skin study,left wing,wing_Lw,14.000
91,Carnegie MNH,P44067,DHPA,Aratinga,weddellii,skin study,right wing,wing_Lw,14.200
92,Carnegie MNH,P44069,DHPA,Aratinga,weddellii,skin study,left wing,wing_Lw,13.600
93,Carnegie MNH,P44069,DHPA,Aratinga,weddellii,skin study,right wing,wing_Lw,13.300
94,Carnegie MNH,P44070,DHPA,Aratinga,weddellii,skin study,left wing,wing_Lw,14.400
95,Carnegie MNH,P44070,DHPA,Aratinga,weddellii,skin study,right wing,wing_Lw,14.600
96,Carnegie MNH,P79544,DHPA,Aratinga,weddellii,skin study,left wing,wing_Lw,13.900
97,Carnegie MNH,P79544,DHPA,Aratinga,weddellii,skin study,right wing,wing_Lw,13.500
98,Carnegie MNH,P79897,DHPA,Aratinga,weddellii,skin study,left wing,wing_Lw,13.400
99,Carnegie MNH,P79897,DHPA,Aratinga,weddellii,skin study,right wing,wing_Lw,13.800
100,Carnegie MNH,P79898,DHPA,Aratinga,weddellii,skin study,left wing,wing_Lw,14.300
101,Carnegie MNH,P79898,DHPA,Aratinga,weddellii,skin study,right wing,wing_Lw,14.400
102,Carnegie MNH,P94676,DHPA,Aratinga,weddellii,skin study,left wing,wing_Lw,14.300
103,Carnegie MNH,P94676,DHPA,Aratinga,weddellii,skin study,right wing,wing_Lw,13.700
106,Carnegie MNH,P125060,CWPA,Brotogeris,cyanoptera,skin study,left wing,wing_Lw,12.400
107,Carnegie MNH,P125060,CWPA,Brotogeris,cyanoptera,skin study,right wing,wing_Lw,12.600
108,Carnegie MNH,P95683,CWPA,Brotogeris,cyanoptera,skin study,left wing,wing_Lw,10.900
109,Carnegie MNH,P95683,CWPA,Brotogeris,cyanoptera,skin study,right wing,wing_Lw,10.700
110,Carnegie MNH,P95790,CWPA,Brotogeris,cyanoptera,skin study,left wing,wing_Lw,11.600
111,Carnegie MNH,P95790,CWPA,Brotogeris,cyanoptera,skin study,right wing,wing_Lw,11.500
112,Carnegie MNH,P143555,,Brotogeris,tirica,skin study,left wing,wing_Lw,11.900
113,Carnegie MNH,P143555,,Brotogeris,tirica,skin study,right wing,wing_Lw,11.800
114,Carnegie MNH,P143559,,Brotogeris,tirica,skin study,left wing,wing_Lw,11.800
115,Carnegie MNH,P143559,,Brotogeris,tirica,skin study,right wing,wing_Lw,12.000
116,Carnegie MNH,S7782,,Brotogeris,tirica,wing spread,left wing,wing_Lw,8.600
117,Carnegie MNH,S15755,,Forpus,coelestis,wing spread,left wing,wing_Lw,8.100
118,Carnegie MNH,P38445,DBPA,Forpus,modestus,skin study,left wing,wing_Lw,8.000
119,Carnegie MNH,P38445,DBPA,Forpus,modestus,skin study,right wing,wing_Lw,8.200
120,Carnegie MNH,P38446,DBPA,Forpus,modestus,skin study,left wing,wing_Lw,8.300
121,Carnegie MNH,P38446,DBPA,Forpus,modestus,skin study,right wing,wing_Lw,8.500
122,Carnegie MNH,P87913,DBPA,Forpus,modestus,skin study,left wing,wing_Lw,7.500
123,Carnegie MNH,P87913,DBPA,Forpus,modestus,skin study,right wing,wing_Lw,8.000
124,Carnegie MNH,P88239,DBPA,Forpus,modestus,skin study,left wing,wing_Lw,7.700
125,Carnegie MNH,P88239,DBPA,Forpus,modestus,skin study,right wing,wing_Lw,7.700
126,Carnegie MNH,P72174,GRMA,Orthopsittaca,manilatus,skin study,left wing,wing_Lw,21.500
127,Carnegie MNH,P72174,GRMA,Orthopsittaca,manilatus,skin study,right wing,wing_Lw,21.800
