DATE,TIME,TYPE,CAUSE,CATEGORY,ALARM
7/22/99,6:30,ccollpa,na,na,na
7/22/99,6:32,ccollpa,na,na,na
7/22/99,6:33,ccollpa,na,na,na
7/22/99,6:41,ccollpa,na,na,na
7/22/99,6:44,ccollpa,na,na,na
7/22/99,6:47,ccollpa,na,na,na
7/22/99,7:09,tree,na,na,na
7/22/99,6:56,ccollpa,na,na,na
7/22/99,7:02,ccollpa,na,na,na
7/22/99,7:04,ccollpa,na,na,na
7/22/99,10:05,tree,raptor,natural,na
7/22/99,10:10,tree,na,na,na
7/22/99,10:53,tree,na,na,na
7/22/99,14:39,ccollpa,na,na,na
7/22/99,14:41,ccollpa,na,na,na
7/22/99,14:49,ccollpa,na,na,na
7/22/99,14:51,tree,na,na,na
7/22/99,14:58,ccollpa,na,na,RGMA
7/23/99,6:23,ccollpa,na,na,na
7/23/99,6:27,tree,na,na,na
7/23/99,6:27,ccollpa,na,na,na
7/23/99,6:35,ccollpa,na,na,na
7/23/99,6:37,tree,na,na,na
7/23/99,6:50,tree,na,na,na
7/23/99,6:55,tree,raptor,natural,na
7/23/99,6:55,ccollpa,raptor,natural,na
7/23/99,7:02,ccollpa,na,na,na
7/23/99,10:13,tree,raptor,natural,na
7/23/99,11:25,tree,trail,human,na
7/23/99,11:29,tree,trail,human,na
7/23/99,12:31,ccollpa,na,na,na
7/23/99,12:42,ccollpa,na,na,na
7/23/99,12:50,tree,na,na,na
7/23/99,12:51,ccollpa,na,na,na
7/24/99,6:15,ccollpa,na,na,na
7/24/99,6:16,ccollpa,boat,human,na
7/24/99,6:17,ccollpa,na,na,na
7/24/99,6:18,ccollpa,na,na,na
7/24/99,6:20,ccollpa,boat,human,na
7/24/99,6:24,ccollpa,na,na,na
7/24/99,6:30,ccollpa,trail,human,na
7/24/99,6:36,ccollpa,below,human,na
7/24/99,6:45,ccollpa,below,human,na
7/24/99,6:51,ccollpa,na,na,na
7/24/99,6:55,ccollpa,na,na,na
7/24/99,7:05,ccollpa,na,na,na
7/24/99,7:10,ccollpa,na,na,na
7/24/99,9:34,tree,raptor,natural,na
7/24/99,12:38,tree,raptor,natural,na
7/24/99,13:43,tree,boat,human,na
7/24/99,13:50,tree,boat,human,na
7/24/99,14:06,tree,boat,human,na
7/24/99,15:14,tree,boat,human,CFMA
7/24/99,15:14,ccollpa,boat,human,CFMA
7/24/99,15:18,ccollpa,boat,human,na
7/24/99,15:19,tree,boat,human,na
7/26/99,6:10,ccollpa,na,na,na
